path,sigma_px,offset_px,distance_px,x,y,red,green,blue,saturation,value
A,0,2,13.0,158.0,218.0,81.0,162.0,181.0,0.5524861878453039,181.0
A,0,2,13.25,158.25,218.0,81.5,160.75,181.75,0.5515818431911967,181.75
A,0,2,13.5,158.5,218.0,82.0,159.5,182.5,0.5506849315068493,182.5
A,0,2,13.75,158.75,218.0,82.5,158.25,183.25,0.5497953615279673,183.25
A,0,2,14.0,159.0,218.0,83.0,157.0,184.0,0.5489130434782609,184.0
A,0,2,14.25,159.25,218.0,82.5,153.75,178.5,0.5378151260504201,178.5
A,0,2,14.5,159.5,218.0,82.0,150.5,173.0,0.5260115606936416,173.0
A,0,2,14.75,159.75,218.0,81.5,147.25,167.5,0.5134328358208955,167.5
A,0,2,15.0,160.0,218.0,81.0,144.0,162.0,0.5,162.0
A,0.8,-2,0.0,145.0,214.0,102.9290616630725,164.83933420148554,186.19628089311163,0.44720130193062096,186.19628089311163
A,0.8,-2,0.25,145.25,214.0,101.25700575036717,163.76337864029537,184.8622060822839,0.45225685716799935,184.8622060822839
A,0.8,-2,0.5,145.5,214.0,99.58494983766184,162.6874230791052,183.52813127145617,0.45738591055359307,183.52813127145617
A,0.8,-2,0.75,145.75,214.0,97.9128939249565,161.61146751791506,182.19405646062845,0.4625900766081512,182.19405646062845
A,0.8,-2,1.0,146.0,214.0,96.24083801225117,160.5355119567249,180.85998164980072,0.4678710174890852,180.85998164980072
A,0.8,-2,1.25,146.25,214.0,95.63271364033295,160.10853598262906,180.2884575450653,0.4695572032589586,180.2884575450653
A,0.8,-2,1.5,146.5,214.0,95.02458926841473,159.68156000853327,179.7169334403299,0.4712541136254974,179.7169334403299
A,0.8,-2,1.75,146.75,214.0,94.41646489649652,159.25458403443747,179.1454093355945,0.4729618512321161,179.1454093355945
A,0.8,-2,2.0,147.0,214.0,93.8083405245783,158.82760806034167,178.5738852308591,0.4746805200362667,178.5738852308591
A,0.8,-2,2.25,147.25,214.0,93.15600965883684,157.96841922465174,177.6042411310577,0.47548544412238913,177.6042411310577
